"DateTime";"MARINGA"
"2022-01-01 00:00:00";26
"2022-01-02 00:00:00";27
"2022-01-03 00:00:00";26
"2022-01-04 00:00:00";24
"2022-01-05 00:00:00";24
"2022-01-06 00:00:00";24
"2022-01-07 00:00:00";24
"2022-01-08 00:00:00";24
"2022-01-09 00:00:00";22
"2022-01-10 00:00:00";21
"2022-01-11 00:00:00";21
"2022-01-12 00:00:00";23
"2022-01-13 00:00:00";23
"2022-01-14 00:00:00";25
"2022-01-15 00:00:00";27
"2022-01-16 00:00:00";23
"2022-01-17 00:00:00";24
"2022-01-18 00:00:00";25
"2022-01-19 00:00:00";24
"2022-01-20 00:00:00";26
"2022-01-21 00:00:00";27
"2022-01-22 00:00:00";28
"2022-01-23 00:00:00";29
"2022-01-24 00:00:00";29
"2022-01-25 00:00:00";29
"2022-01-26 00:00:00";27
"2022-01-27 00:00:00";24
"2022-01-28 00:00:00";23
"2022-01-29 00:00:00";22
"2022-01-30 00:00:00";23
"2022-01-31 00:00:00";23
